epoch,cnn_train_loss,cnn_val_loss,mlp_train_loss,mlp_val_loss
1,0.2572100605283465,0.15377016961574555,0.59163430418287,0.4292281806468964
2,0.12971661644322532,0.09191515892744065,0.4275897664683206,0.39376671314239503
3,0.10003496344600404,0.0647630050778389,0.3763903541224343,0.36262293457984923
4,0.08036542141011783,0.04546549692749977,0.34645417843546183,0.3466105341911316
5,0.06554702211703572,0.03468537777662277,0.3290997590337481,0.32721251249313354
6,0.059807999644960676,0.02789304405450821,0.30964862959725514,0.3270090460777283
7,0.04440410073314394,0.02218044437468052,0.2956179550715855,0.31270689964294435
8,0.03744674527219364,0.01837676912546158,0.26758323226656233,0.3035031259059906
9,0.03155359530023166,0.014132619835436344,0.25540996279035294,0.2956420063972473
10,0.025518787732081754,0.011297732964158059,0.2553415915795735,0.2900089681148529
11,0.023089556981410297,0.009467754699289798,0.24399129833493913,0.2880627363920212
12,0.021448097244969436,0.007972004450857639,0.231382292509079,0.2884109079837799
13,0.020336703317505974,0.006462329998612404,0.23370142834527152,0.2874576151371002
14,0.014129435683467558,0.006540983822196722,0.2206989858831678,0.27643285095691683
15,0.01186993702181748,0.005022646207362413,0.2119246576513563,0.28442931175231934
16,0.013300944345870189,0.005468600615859032,0.21197488009929658,0.27781307101249697
17,0.01352346468982952,0.005027013504877687,0.19921119170529503,0.2745228946208954
18,0.010519615786948374,0.0032299701124429703,0.19296116914067948,0.2668119966983795
19,0.008164414829973663,0.0035405514296144246,0.19759660980531146,0.2709242254495621
20,0.00853827762018357,0.003114470047876239,0.19329613532338824,0.2684774279594421
21,0.0072732139977493455,0.0024154721293598415,0.18385233453341893,0.267692893743515
22,0.006993559621540564,0.0027953011449426413,0.17430930180209023,0.27127242982387545
23,0.0055725869589618275,0.0018412491073831916,0.1716446665780885,0.26636458933353424
24,0.005656915291079453,0.0015524603659287095,0.17104061990976333,0.26509071290493014
25,0.004677750625913696,0.0016006513265892862,0.17072445835386005,0.2623664796352386
26,0.0043981452638815555,0.001472939271479845,0.17343962000949043,0.26779489517211913
27,0.004843229960118022,0.0011900302255526186,0.16454888922827585,0.2555476039648056
28,0.004494968362684761,0.0013316511642187834,0.15909779625279563,0.2539596945047379
29,0.0032153861430872766,0.0011738570872694253,0.15962198908839906,0.25322438180446627
30,0.004247938841581344,0.0015566895250231027,0.15382912776299884,0.2544673174619675
31,0.003387770088322993,0.0011488880845718086,0.1551999643445015,0.2547874450683594
32,0.003218114475852677,0.0010570523561909794,0.1512502487216677,0.252742326259613
33,0.0028680613547164414,0.0008509250241331756,0.14658711424895696,0.25339252352714536
34,0.0028135021566413343,0.0008078552782535553,0.14589149739061083,0.2513935923576355
35,0.003192427444238482,0.0006350718904286623,0.14216278067656926,0.24727196991443634
36,0.0025232390999527913,0.0007927920785732567,0.14891318806580134,0.25088948011398315
37,0.0025227114391912307,0.0005546582746319473,0.14680110812187194,0.249045991897583
38,0.0027368738000015064,0.0006523982272483408,0.14437156468629836,0.24608531296253205
39,0.00235246802081487,0.0005598762421868741,0.13700119320835386,0.24537523090839386
40,0.0022909125878608654,0.0004899145336821675,0.13914468181984765,0.24725533723831178
41,0.0019552044054892445,0.0005110145779326558,0.14061374941042493,0.2433503210544586
42,0.0017176385012654853,0.0007216538884676993,0.1356439362679209,0.2424570918083191
43,0.0016422244761737862,0.0007359291194006801,0.12971384951046536,0.24472894966602327
44,0.0016948135411699436,0.0004238210793118924,0.13006727418729236,0.2437840610742569
45,0.001855704259027594,0.0004100581689272076,0.12705629404102053,0.24887814819812776
46,0.0016323090032009141,0.0005158528569154441,0.12343478138957704,0.2420549839735031
47,0.0012716459268371442,0.00038754288107156754,0.12752071789332797,0.24816458523273469
48,0.001173193593110357,0.0003289117419626564,0.13419291355780194,0.24435408115386964
49,0.0015672269709674374,0.0003007934836205095,0.12266877612897328,0.2434177964925766
50,0.0011644533477790122,0.0003141919209156185,0.11889455488749913,0.23991641998291016
